jogador,time,posicao,Minutos,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Key_Pass,Passing 1/3,Cross,Dribles_Tentados,Dribles_certos,%Dribles,Acoes Ofensivas
Carles Aleñá,Alavés,"MF,FW",1090,0.7,1.3,0,2,18,58,19,35,31,24,12,50.0% (12/24),76
Carlos Martín,Alavés,"FW,MF",1333,2.3,2.7,2,2,13,21,13,15,24,36,9,25.0% (9/36),34
Carlos Vicente,Alavés,"FW,MF",3092,3.5,5.4,4,5,104,68,63,36,269,106,34,32.1% (34/106),172
Joan Jordán,Alavés,MF,1414,4.8,2.3,2,2,7,104,31,102,106,7,6,85.7% (6/7),111
Jon Guridi,Alavés,"MF,FW",2080,4.2,1.2,2,1,27,79,17,55,17,26,8,30.8% (8/26),106
Kiké,Alavés,FW,2542,9.6,0.9,10,0,25,50,13,30,13,35,13,37.1% (13/35),75
Stoichkov,Alavés,"MF,FW",699,1.1,1.2,0,1,9,26,7,16,13,18,6,33.3% (6/18),35
Tomás Conechny,Alavés,"FW,MF",847,2.4,0.3,1,0,14,23,7,14,31,13,6,46.2% (6/13),37
Toni Martínez,Alavés,FW,1012,3.6,0.6,4,0,13,11,11,11,7,15,9,60.0% (9/15),24
Beñat Prados,Athletic Club,MF,1715,1.0,1.1,1,0,20,78,11,70,9,30,15,50.0% (15/30),98
Gorka Guruzeta,Athletic Club,FW,1840,6.7,1.5,7,2,8,31,15,23,5,20,11,55.0% (11/20),39
Iñaki Williams,Athletic Club,FW,2652,7.6,7.8,6,8,107,76,43,38,115,101,33,32.7% (33/101),183
Iñigo Ruiz de Galarreta,Athletic Club,MF,1477,0.5,2.9,0,4,27,137,28,101,29,23,16,69.6% (16/23),164
Maroan Sannadi,Athletic Club,FW,754,3.5,0.6,1,1,21,15,7,13,6,30,14,46.7% (14/30),36
Mikel Jauregizar,Athletic Club,MF,2244,1.1,1.4,2,1,14,118,23,106,27,42,20,47.6% (20/42),132
Mikel Vesga,Athletic Club,MF,988,1.2,1.0,0,0,10,64,12,51,8,12,7,58.3% (7/12),74
Nico Williams,Athletic Club,FW,1996,4.2,3.5,5,5,118,69,40,23,107,187,68,36.4% (68/187),187
Oihan Sancet,Athletic Club,MF,1620,9.7,1.9,12,1,52,90,21,66,18,50,24,48.0% (24/50),142
Unai Gómez,Athletic Club,"MF,FW",1284,1.9,0.8,1,3,19,23,10,20,23,29,12,41.4% (12/29),42
Álex Berenguer,Athletic Club,"FW,MF",2339,6.8,5.0,6,7,65,78,46,49,178,82,33,40.2% (33/82),143
Álvaro djaló,Athletic Club,FW,659,0.8,0.9,1,0,22,13,4,6,14,36,14,38.9% (14/36),35
Alexander Sørloth,Atlético Madrid,FW,1566,16.8,1.6,19,2,32,31,13,19,5,37,14,37.8% (14/37),63
Antoine Griezmann,Atlético Madrid,"FW,MF",2469,7.4,7.1,7,7,46,143,48,105,138,35,15,42.9% (15/35),189
Conor Gallagher,Atlético Madrid,MF,1633,2.8,1.2,3,3,24,64,12,47,13,42,17,40.5% (17/42),88
Giuliano Simeone,Atlético Madrid,MF,1926,2.2,5.2,2,6,69,49,24,30,49,68,30,44.1% (30/68),118
Julián Álvarez,Atlético Madrid,FW,2509,14.1,5.3,13,4,79,92,41,45,69,65,34,52.3% (34/65),171
Koke,Atlético Madrid,MF,1926,1.1,1.4,1,1,22,132,16,134,22,22,9,40.9% (9/22),154
Pablo Barrios,Atlético Madrid,MF,2330,1.3,2.4,1,4,29,142,26,148,26,42,25,59.5% (25/42),171
Rodrigo De Paul,Atlético Madrid,MF,2106,1.3,5.6,3,5,85,231,42,180,59,35,14,40.0% (14/35),316
