jogador,time,posicao,idade,Minutos,Prgc,PrgP,Amarelo,Vermelho,2 Amarelo,Falta Cometida,interceptacao,recuperacoes,Duelos Aereoes W,Duelos Aereoes L,Duelos Aereoes W%,Divididas Total,Divididas Ganhas,Clearence,Erros
Johann Lepenant,Nantes,MF,21,2048,25,89,3,0,0,51,18,89,20,18,52.6,68,33,25,0
Pedro Chirivella,Nantes,MF,27,2348,16,170,6,0,0,25,19,116,10,14,41.7,44,29,45,0
Baptiste Santamaria,Nice,MF,29,927,10,45,1,0,0,16,18,49,24,13,64.9,20,10,19,1
Hicham Boudaoui,Nice,MF,24,2435,54,124,9,0,0,41,22,175,16,34,32.0,76,52,45,1
Tanguy Ndombele,Nice,MF,27,1131,22,61,2,0,0,10,14,67,3,10,23.1,35,23,9,0
Fabián Ruiz Peña,Paris S-G,MF,28,1923,47,205,1,0,0,6,16,135,5,8,38.5,37,24,27,1
Senny Mayulu,Paris S-G,MF,18,808,29,46,1,0,0,20,5,32,1,10,9.1,25,16,12,0
Vitinha,Paris S-G,MF,24,2042,53,224,1,0,0,9,14,144,1,5,16.7,43,23,19,2
Amadou Koné,Reims,MF,19,1293,19,68,3,1,0,19,19,79,22,22,50.0,49,32,38,2
Marshall Munetsi,Reims,MF,28,1692,8,26,5,0,0,28,17,72,41,48,46.1,36,18,35,0
Teddy Teuma,Reims,MF,30,750,9,47,1,0,0,11,12,42,4,8,33.3,18,10,8,1
Valentin Atangana Edoa,Reims,MF,18,2854,41,93,7,0,0,57,37,117,47,34,58.0,69,50,64,0
Azor Matusiwa,Rennes,MF,26,2078,19,134,3,0,0,29,34,134,28,18,60.9,64,39,52,0
Djaoui Cissé,Rennes,MF,20,1121,16,84,4,0,0,25,13,78,4,13,23.5,33,18,11,1
Glen Kamara,Rennes,MF,28,662,5,34,0,0,0,7,7,42,2,6,25.0,23,11,7,0
Jordan James,Rennes,MF,20,1178,21,67,4,0,0,26,14,54,10,7,58.8,30,19,17,1
Seko Fofana,Rennes,MF,29,844,32,72,3,0,0,9,7,42,7,3,70.0,11,7,7,0
Aimen Moueffek,Saint-Étienne,MF,23,1039,20,43,2,0,0,20,5,59,9,17,34.6,20,12,26,1
Benjamin Bouchouari,Saint-Étienne,MF,22,1772,48,133,6,0,0,15,17,119,6,17,26.1,33,27,15,2
Florian Tardieu,Saint-Étienne,MF,32,1252,11,139,0,0,0,10,15,83,14,8,63.6,18,14,21,0
Louis Mouton,Saint-Étienne,MF,22,1045,18,54,2,0,0,24,10,63,5,11,31.3,49,25,19,0
Mathis Amougou,Saint-Étienne,MF,18,859,8,36,2,0,0,6,12,37,3,12,20.0,21,15,4,0
Pierre Ekwah Elimby,Saint-Étienne,MF,22,2575,20,146,3,0,0,42,47,154,30,13,69.8,54,33,72,1
Andrey Santos,Strasbourg,MF,20,2855,29,149,8,0,0,29,32,188,37,24,60.7,110,74,67,1
Cristian Cásseres Jr.,Toulouse,MF,24,2696,31,128,11,0,0,53,42,172,24,17,58.5,96,61,36,1
Vincent Sierro,Toulouse,MF,28,2402,15,147,4,0,0,34,16,125,31,35,47.0,44,27,44,1
Arne Maier,Augsburg,MF,25,938,19,44,0,1,0,9,6,72,4,7,36.4,13,7,14,1
Elvis Rexhbeçaj,Augsburg,MF,26,1785,31,94,8,0,0,13,16,85,10,19,34.5,27,19,22,1
Frank Onyeka,Augsburg,MF,26,2586,46,106,8,0,0,47,36,147,16,21,43.2,58,45,36,2
Fredrik Jensen,Augsburg,MF,26,763,16,20,0,0,0,5,4,15,6,13,31.6,7,7,17,0
Kristijan Jakić,Augsburg,MF,27,2306,24,106,2,0,0,23,28,133,35,30,53.8,46,23,50,1
Mert Kömür,Augsburg,MF,19,654,18,11,1,0,0,7,3,32,11,18,37.9,3,2,7,1
Aleksandar Pavlovic,Bayern Munich,MF,20,1451,15,128,2,0,0,17,5,72,12,10,54.5,38,21,14,0
Jamal Musiala,Bayern Munich,MF,21,1798,71,107,3,0,0,20,8,75,7,14,33.3,36,21,5,1
Joshua Kimmich,Bayern Munich,MF,29,2847,51,362,4,0,0,15,25,190,12,9,57.1,47,29,34,3
João Palhinha,Bayern Munich,MF,29,673,3,32,2,1,0,13,4,17,20,11,64.5,20,14,9,1
Anthony Losilla,Bochum,MF,38,1137,3,45,1,0,0,18,18,45,29,23,55.8,30,16,27,1
Ibrahima Sissoko,Bochum,MF,26,2610,35,105,11,1,1,75,36,154,76,54,58.5,66,44,61,0
Matúš Bero,Bochum,MF,28,2565,29,143,11,0,0,50,17,164,22,43,33.8,65,35,35,1
Tom Krauß,Bochum,MF,23,1077,16,84,2,0,0,14,11,78,9,8,52.9,35,18,19,1
Felix Nmecha,Dortmund,MF,23,1509,21,85,3,0,0,22,23,85,23,20,53.5,34,22,30,1
Julian Brandt,Dortmund,MF,28,2303,61,149,1,0,0,8,14,119,11,29,27.5,26,11,13,1
Marcel Sabitzer,Dortmund,MF,30,1616,24,97,3,0,0,12,10,58,17,13,56.7,29,19,29,1
Ellyes Skhiri,Eint Frankfurt,MF,29,2231,17,105,6,0,0,22,31,105,19,19,50.0,40,22,45,4
Hugo Larsson,Eint Frankfurt,MF,20,2393,16,121,2,0,0,21,30,121,13,14,48.1,47,27,35,1
Oscar Højlund,Eint Frankfurt,MF,19,722,17,49,0,0,0,12,5,40,7,17,29.2,21,12,11,1
Maximilian Eggestein,Freiburg,MF,27,2845,34,141,4,0,0,22,39,154,60,56,51.7,57,32,54,1
Nicolas Höfler,Freiburg,MF,34,794,1,30,3,0,0,12,14,27,28,15,65.1,33,23,28,1
Patrick Osterhage,Freiburg,MF,24,2267,26,73,6,1,1,25,18,106,31,36,46.3,45,29,37,0
