jogador,time,posicao,Minutos,PrgR,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Aerial Duels ,Acoes Ofensivas
Jon Guridi,Alavés,"MF,FW",2080,90,4.2,1.2,2,1,27,79,41.6,47,66,41.6% (47/66),106
Kiké,Alavés,FW,2542,158,9.6,0.9,10,0,25,50,52.4,110,100,52.4% (110/100),75
Stoichkov,Alavés,"MF,FW",699,41,1.1,1.2,0,1,9,26,25.0,5,15,25.0% (5/15),35
Tomás Conechny,Alavés,"FW,MF",847,61,2.4,0.3,1,0,14,23,53.5,23,20,53.5% (23/20),37
Toni Martínez,Alavés,FW,1012,57,3.6,0.6,4,0,13,11,53.7,79,68,53.7% (79/68),24
Beñat Prados,Athletic Club,MF,1715,32,1.0,1.1,1,0,20,78,56.9,29,22,56.9% (29/22),98
Gorka Guruzeta,Athletic Club,FW,1840,64,6.7,1.5,7,2,8,31,34.3,36,69,34.3% (36/69),39
Iñaki Williams,Athletic Club,FW,2652,302,7.6,7.8,6,8,107,76,60.0,30,20,60.0% (30/20),183
Iñigo Ruiz de Galarreta,Athletic Club,MF,1477,39,0.5,2.9,0,4,27,137,40.0,8,12,40.0% (8/12),164
Maroan Sannadi,Athletic Club,FW,754,67,3.5,0.6,1,1,21,15,45.2,14,17,45.2% (14/17),36
Mikel Jauregizar,Athletic Club,MF,2244,31,1.1,1.4,2,1,14,118,49.3,34,35,49.3% (34/35),132
Mikel Vesga,Athletic Club,MF,988,22,1.2,1.0,0,0,10,64,61.0,25,16,61.0% (25/16),74
Nico Williams,Athletic Club,FW,1996,254,4.2,3.5,5,5,118,69,39.3,11,17,39.3% (11/17),187
Oihan Sancet,Athletic Club,MF,1620,115,9.7,1.9,12,1,52,90,48.0,12,13,48.0% (12/13),142
Unai Gómez,Athletic Club,"MF,FW",1284,49,1.9,0.8,1,3,19,23,48.3,29,31,48.3% (29/31),42
Álex Berenguer,Athletic Club,"FW,MF",2339,216,6.8,5.0,6,7,65,78,35.1,27,50,35.1% (27/50),143
Álvaro djaló,Athletic Club,FW,659,60,0.8,0.9,1,0,22,13,34.5,10,19,34.5% (10/19),35
Alexander Sørloth,Atlético Madrid,FW,1566,81,16.8,1.6,19,2,32,31,66.2,98,50,66.2% (98/50),63
Antoine Griezmann,Atlético Madrid,"FW,MF",2469,177,7.4,7.1,7,7,46,143,47.7,21,23,47.7% (21/23),189
Conor Gallagher,Atlético Madrid,MF,1633,64,2.8,1.2,3,3,24,64,30.0,9,21,30.0% (9/21),88
Giuliano Simeone,Atlético Madrid,MF,1926,189,2.2,5.2,2,6,69,49,32.4,11,23,32.4% (11/23),118
Julián Álvarez,Atlético Madrid,FW,2509,162,14.1,5.3,13,4,79,92,29.5,13,31,29.5% (13/31),171
Koke,Atlético Madrid,MF,1926,18,1.1,1.4,1,1,22,132,47.1,8,9,47.1% (8/9),154
Pablo Barrios,Atlético Madrid,MF,2330,69,1.3,2.4,1,4,29,142,62.5,35,21,62.5% (35/21),171
Rodrigo De Paul,Atlético Madrid,MF,2106,64,1.3,5.6,3,5,85,231,36.4,4,7,36.4% (4/7),316
